Session ID: 240519154138, Date & Time:<START> :19-05-2024 15:41:38

Log Operating System	windows	Locale	en_US	Version	2.0.4 (Beta-3)
Index	Device	Input	Start_time	Start_clock	End_Time	End_clock	Event_time	Pause_time	Pause_location	Caret_position	Anchor_position	Mouse_x	Mouse_y	Selected_text	Replaced_text	Gene_type
0	<MOUSE>	<PRIMARY>	0	00:00:00	156	00:00:00	156	1142	initial	0	0	96	32			navigate
1	<KEYBOARD>	SHIFT	1441	00:00:01	2303	00:00:02	862	1285	unknown	0	0					unknown
2	<KEYBOARD>	Д	2100	00:00:02	2164	00:00:02	64	659	sentence beginning	0	0					append
3	<KEYBOARD>	н	3697	00:00:03	3767	00:00:03	70	1533	unknown	1	1					append
4	<KEYBOARD>	ё	4754	00:00:04	4892	00:00:04	138	987	unknown	2	2					append
5	<KEYBOARD>	м	5220	00:00:05	5286	00:00:05	66	328	unknown	3	3					append
6	<KEYBOARD>	SPACE	5437	00:00:05	5511	00:00:05	74	151	unknown	4	4					append
7	<KEYBOARD>	з	6446	00:00:06	6518	00:00:06	72	935	unknown	5	5					append
8	<KEYBOARD>	а	6882	00:00:06	6944	00:00:06	62	364	unknown	6	6					append
9	<KEYBOARD>	SPACE	7105	00:00:07	7184	00:00:07	79	161	unknown	7	7					append
10	<KEYBOARD>	м	7388	00:00:07	7449	00:00:07	61	204	unknown	8	8					append
11	<KEYBOARD>	о	7859	00:00:07	7915	00:00:07	56	410	unknown	9	9					append
12	<KEYBOARD>	и	8216	00:00:08	8273	00:00:08	57	301	unknown	10	10					append
13	<KEYBOARD>	м	8471	00:00:08	8526	00:00:08	55	198	unknown	11	11					append
14	<KEYBOARD>	SPACE	8717	00:00:08	8768	00:00:08	51	191	unknown	12	12					append
15	<KEYBOARD>	о	10271	00:00:10	10328	00:00:10	57	1503	unknown	13	13					append
16	<KEYBOARD>	к	10728	00:00:10	10773	00:00:10	45	400	unknown	14	14					append
17	<KEYBOARD>	н	11186	00:00:11	11248	00:00:11	62	413	unknown	15	15					append
18	<KEYBOARD>	о	11449	00:00:11	11514	00:00:11	65	201	unknown	16	16					append
19	<KEYBOARD>	м	11808	00:00:11	11859	00:00:11	51	294	unknown	17	17					append
20	<KEYBOARD>	SPACE	12031	00:00:12	12084	00:00:12	53	172	unknown	18	18					append
